numRanks,numThreads,speedup,speedupStandardDev,depth, time(s), standardDev, maxDelta, minDelta
8,16,1.0,0.06240068041167124,100, 306.44304184, 13.52147570, 37.21593516, 24.14831984
16,16,1.3022193238468476,0.057491586452252066,100, 235.32367876, 8.67307456, 18.69820524, 16.05737676
32,16,1.6915790047642092,0.04952295938439246,100, 181.15798374, 4.07344129, 13.39232826, 10.11333374
64,16,2.869158560233179,0.05931137599111207,100, 106.80589288, 4.23322952, 10.07344512, 8.80198188
