qubit, time(s), standardDev, maxDelta, minDelta
0, 0.12096620, 0.00077822, 0.00323581, 0.00054527
1, 0.12110187, 0.00052186, 0.00124001, 0.00049282
2, 0.12100217, 0.00032416, 0.00133779, 0.00024316
3, 0.14241542, 0.00532084, 0.00941740, 0.02000155
4, 0.12091643, 0.00034939, 0.00203054, 0.00034244
5, 0.12313408, 0.00341978, 0.01117688, 0.00278801
6, 0.15202121, 0.00488490, 0.00235076, 0.02469830
7, 0.14914576, 0.00034997, 0.00176820, 0.00038877
8, 0.14764050, 0.00027053, 0.00087354, 0.00034049
9, 0.14626163, 0.00029162, 0.00083834, 0.00055665
10, 0.13465847, 0.00255190, 0.01194250, 0.00115646
11, 0.12820726, 0.00479075, 0.00559467, 0.00655538
12, 0.12402632, 0.00230642, 0.00942085, 0.00170042
13, 0.12237587, 0.00216303, 0.01238999, 0.00111189
14, 0.12148335, 0.00025283, 0.00102756, 0.00036337
15, 0.12068692, 0.00023810, 0.00073895, 0.00031009
16, 0.12082884, 0.00120927, 0.00440123, 0.00080678
17, 0.12108583, 0.00035389, 0.00173121, 0.00037069
18, 0.12096868, 0.00023278, 0.00098624, 0.00027261
19, 0.12088733, 0.00026904, 0.00133963, 0.00030332
20, 0.12084209, 0.00023993, 0.00089491, 0.00028502
21, 0.12091467, 0.00028779, 0.00140812, 0.00039361
22, 0.12089093, 0.00023440, 0.00078409, 0.00025589
23, 0.12088141, 0.00052831, 0.00356855, 0.00035033
24, 0.12090314, 0.00037262, 0.00203692, 0.00034297
25, 0.12767592, 0.00700526, 0.01336917, 0.00716486
26, 0.12422488, 0.00488159, 0.01349404, 0.00382373
27, 0.12639856, 0.00652262, 0.02076054, 0.00440859
28, 0.15676294, 0.04893153, 0.13854208, 0.03221379
29, 0.50519140, 0.02808755, 0.05842654, 0.06719120
30, 2.92723041, 0.00461459, 0.02106662, 0.00743227
