qubit, time(s), standardDev, maxDelta, minDelta
0, 0.12632494, 0.00949623, 0.06126899, 0.00453501
1, 0.12541687, 0.00334409, 0.00640834, 0.00369775
2, 0.12489407, 0.00270513, 0.00869687, 0.00300806
3, 0.16858769, 0.00934973, 0.00692319, 0.02992369
4, 0.14341687, 0.00500989, 0.00678112, 0.02085184
5, 0.13705198, 0.00060239, 0.00164183, 0.00089995
6, 0.15539782, 0.00360224, 0.00597699, 0.01639574
7, 0.15258410, 0.00078133, 0.00261400, 0.00084903
8, 0.15033717, 0.00115819, 0.00318485, 0.00144214
9, 0.14885131, 0.00088096, 0.00227269, 0.00094810
10, 0.14690821, 0.00090441, 0.00379379, 0.00090615
11, 0.13830687, 0.00778872, 0.01880716, 0.00413466
12, 0.13269776, 0.00193507, 0.00274021, 0.00686377
13, 0.12828222, 0.00229739, 0.00431380, 0.00481835
14, 0.12527594, 0.00237513, 0.00693813, 0.00294813
15, 0.12513471, 0.00141993, 0.00500941, 0.00198865
16, 0.12447390, 0.00119219, 0.00435225, 0.00266489
17, 0.12398843, 0.00149973, 0.00395961, 0.00218133
18, 0.12507686, 0.00198629, 0.00575224, 0.00246390
19, 0.12674606, 0.01004502, 0.06769693, 0.00474012
20, 0.12578920, 0.00280818, 0.01397583, 0.00313715
21, 0.12521481, 0.00255537, 0.01131512, 0.00371384
22, 0.12529862, 0.00199913, 0.00551641, 0.00342644
23, 0.12540780, 0.00232219, 0.00912323, 0.00324879
24, 0.12503090, 0.00201862, 0.00535903, 0.00310698
25, 0.15280713, 0.00950537, 0.02412282, 0.01643003
26, 0.14691569, 0.00520256, 0.01676343, 0.00640275
27, 0.15540729, 0.00539016, 0.01539078, 0.00950441
28, 0.29821683, 0.00193377, 0.00362205, 0.00893594
29, 0.49954954, 0.03320813, 0.06967458, 0.07761159
30, 3.08036762, 0.01082741, 0.03962535, 0.00877148
31, 3.07754191, 0.00353984, 0.01680223, 0.00514587
32, 3.12155680, 0.04688829, 0.09644123, 0.04896573
33, 3.32289504, 0.02627125, 0.04508282, 0.06302093
34, 4.21005054, 0.05302056, 0.11550836, 0.10987468
35, 4.93728439, 0.05868522, 0.12927063, 0.13299624
36, 5.31770546, 0.04084148, 0.11168759, 0.07824237
37, 6.49159583, 0.05682406, 0.13849322, 0.13585886
38, 6.95418357, 0.07554069, 0.15571023, 0.17148661
