numRanks,numThreads,speedup,speedupStandardDev,inverseTime,depth, time(s), standardDev, maxDelta, minDelta
8,24,1.0,0.016457852776639578,0.009901696382111008,100, 100.99279572, 1.17529955, 2.66285828, 2.79419572
16,24,1.795510021855387,0.021352996118007294,0.01777859508744954,100, 56.24741410, 1.00700150, 2.57156390, 2.51043010
32,24,3.20356318507035,0.027275998684940326,0.0317207099994751,100, 31.52514556, 0.77768748, 2.40582044, 1.51406456
64,24,5.799378656875313,0.04215991838280171,0.057423686665274074,100, 17.41441656, 0.70566608, 2.48200844, 0.94412356
