qubit, time(s), standardDev, maxDelta, minDelta
0, 0.48150031, 0.00061882, 0.00301464, 0.00159328
1, 0.48192139, 0.00037124, 0.00174145, 0.00051136
2, 0.48276407, 0.00042805, 0.00154989, 0.00065715
3, 0.59622552, 0.02149279, 0.03370736, 0.08692433
4, 0.48205093, 0.00035460, 0.00142904, 0.00051002
5, 0.49475800, 0.01209030, 0.03457512, 0.01498996
6, 0.60950250, 0.01048130, 0.00302154, 0.07305545
7, 0.59918761, 0.00028890, 0.00058651, 0.00055766
8, 0.58438068, 0.00089332, 0.00261730, 0.00167852
9, 0.58345976, 0.00053547, 0.00243530, 0.00158873
10, 0.49373183, 0.01533617, 0.06021014, 0.01352272
11, 0.48460204, 0.00772005, 0.03705590, 0.00504310
12, 0.49028634, 0.00338153, 0.01694085, 0.00247215
13, 0.48504142, 0.00055934, 0.00143763, 0.00071458
14, 0.48397929, 0.00079237, 0.00354165, 0.00091344
15, 0.48168324, 0.00037487, 0.00164773, 0.00058125
16, 0.48153908, 0.00034984, 0.00128382, 0.00059111
17, 0.48154868, 0.00097587, 0.00526320, 0.00077666
18, 0.48222005, 0.00031024, 0.00113595, 0.00043404
19, 0.48219973, 0.00042118, 0.00102824, 0.00055653
20, 0.48256854, 0.00179046, 0.01198836, 0.00093869
21, 0.48212716, 0.00083344, 0.00550893, 0.00052806
22, 0.48213164, 0.00038634, 0.00136646, 0.00060479
23, 0.48198660, 0.00083061, 0.00463835, 0.00063356
24, 0.48210793, 0.00033624, 0.00090903, 0.00062376
25, 0.50439582, 0.02350040, 0.03847517, 0.02318988
26, 0.51271716, 0.02581490, 0.03171882, 0.03169313
27, 0.49681005, 0.01951145, 0.04600206, 0.01532206
28, 0.48473472, 0.00579165, 0.03380137, 0.00384373
29, 2.44713573, 0.83680685, 5.82894940, 0.22501688
30, 2.47298381, 0.84207199, 5.86508014, 0.23398468
31, 2.42569254, 0.10152932, 0.18600537, 0.14309667
