qubit, time(s), standardDev, maxDelta, minDelta
0, 0.12174236, 0.00314261, 0.02105750, 0.00115835
1, 0.12136063, 0.00053265, 0.00205436, 0.00053153
2, 0.12138338, 0.00058304, 0.00262861, 0.00051827
3, 0.13894433, 0.00354069, 0.00655967, 0.01609844
4, 0.12143301, 0.00076493, 0.00342204, 0.00069307
5, 0.13022974, 0.00373836, 0.00502821, 0.00763277
6, 0.15328982, 0.00406636, 0.00469133, 0.01504996
7, 0.14985732, 0.00026983, 0.00071069, 0.00044135
8, 0.14818191, 0.00037425, 0.00115109, 0.00049686
9, 0.14672086, 0.00045966, 0.00240305, 0.00060985
10, 0.13409416, 0.00685026, 0.01416572, 0.01310126
11, 0.12667341, 0.00428801, 0.00662952, 0.00519151
12, 0.12420937, 0.00226961, 0.00890378, 0.00177142
13, 0.12234729, 0.00131388, 0.00667292, 0.00090331
14, 0.12179546, 0.00088671, 0.00521560, 0.00061659
15, 0.12128052, 0.00114245, 0.00441947, 0.00091252
16, 0.12078801, 0.00081946, 0.00277791, 0.00061312
17, 0.12118502, 0.00036793, 0.00117998, 0.00039311
18, 0.12135786, 0.00082962, 0.00459010, 0.00063199
19, 0.12130672, 0.00102460, 0.00662821, 0.00056583
20, 0.12116138, 0.00032084, 0.00102362, 0.00043622
21, 0.12117352, 0.00044681, 0.00178252, 0.00049963
22, 0.12121850, 0.00062746, 0.00269359, 0.00055367
23, 0.12139181, 0.00070278, 0.00296422, 0.00069169
24, 0.12131667, 0.00070135, 0.00340319, 0.00064468
25, 0.12967564, 0.00735149, 0.01174520, 0.00861265
26, 0.12806756, 0.00692772, 0.01367134, 0.00735456
27, 0.13170893, 0.00894509, 0.02041595, 0.00961287
28, 0.27743313, 0.03816871, 0.02097300, 0.13307211
29, 0.50745985, 0.03257961, 0.08277133, 0.07622191
30, 2.94248764, 0.00420038, 0.01630720, 0.01071064
31, 2.94422446, 0.00338475, 0.00676145, 0.00733338
32, 2.94348771, 0.00729491, 0.04341238, 0.01099164
