qubit, time(s), standardDev, maxDelta, minDelta
0, 0.64145189, 0.00122876, 0.00586099, 0.00097996
1, 0.64128605, 0.00133584, 0.00856789, 0.00079004
2, 0.64276888, 0.00174902, 0.00888417, 0.00099995
3, 0.76403243, 0.03029608, 0.09486144, 0.07417948
4, 0.64098464, 0.00041760, 0.00177230, 0.00060974
5, 0.63859535, 0.00391806, 0.01269959, 0.00357438
6, 0.79255625, 0.01368616, 0.00611762, 0.09545633
7, 0.77674883, 0.00053401, 0.00137216, 0.00092000
8, 0.77944911, 0.00064827, 0.00144183, 0.00119412
9, 0.77504428, 0.00057818, 0.00139253, 0.00132831
10, 0.68745220, 0.02078992, 0.08513462, 0.03601921
11, 0.65099234, 0.00405401, 0.01297170, 0.00324720
12, 0.65373297, 0.00295225, 0.01446394, 0.00257988
13, 0.64559454, 0.00085890, 0.00532251, 0.00069470
14, 0.64532606, 0.00155849, 0.01052984, 0.00092808
15, 0.64056745, 0.00202447, 0.01030455, 0.00100937
16, 0.63951173, 0.00125335, 0.00836620, 0.00081172
17, 0.64355927, 0.00154089, 0.00741072, 0.00105934
18, 0.64331734, 0.00084426, 0.00537980, 0.00099528
19, 0.64288839, 0.00034196, 0.00081459, 0.00061831
20, 0.64288008, 0.00033777, 0.00068295, 0.00077903
21, 0.64240820, 0.00040899, 0.00199073, 0.00057513
22, 0.64301847, 0.00052912, 0.00193550, 0.00116657
23, 0.64301321, 0.00087997, 0.00474170, 0.00100133
24, 0.64240538, 0.00156955, 0.01042356, 0.00106417
25, 0.65239000, 0.01795748, 0.06802797, 0.01056600
26, 0.64650908, 0.00765685, 0.04803786, 0.00408711
27, 0.64819185, 0.01153567, 0.06205113, 0.00603191
28, 0.64839813, 0.01433496, 0.08846000, 0.00725123
29, 0.68981800, 0.02452780, 0.05857697, 0.01942000
30, 0.78500100, 0.11721427, 0.38467387, 0.10482617
31, 1.28156576, 0.29133289, 0.76991811, 0.32648382
