qubit, time(s), standardDev, maxDelta, minDelta
0, 1.60159718, 0.15399854, 1.05854292, 0.08040511
1, 1.78369874, 0.03207722, 0.07805917, 0.14287373
2, 1.75967305, 0.01081584, 0.02845688, 0.01858009
3, 1.76281410, 0.00954237, 0.01463997, 0.02068916
4, 1.76703453, 0.00812652, 0.02655646, 0.01508251
5, 1.76643471, 0.00954299, 0.03208929, 0.01674277
6, 1.76524525, 0.02004888, 0.09497077, 0.02305328
7, 1.79411277, 0.05537339, 0.11951228, 0.13656181
8, 1.76912105, 0.02346426, 0.04827803, 0.09983917
9, 1.77762447, 0.01672691, 0.09224163, 0.02430938
10, 1.74552707, 0.02547100, 0.06049788, 0.13543101
11, 1.63344092, 0.02391873, 0.08209202, 0.03215381
12, 1.62340521, 0.02312327, 0.05134886, 0.03042622
13, 1.64416470, 0.02432090, 0.04996933, 0.03322971
14, 1.64805822, 0.02347199, 0.04374384, 0.03752121
15, 1.63801198, 0.02305687, 0.05665503, 0.02801902
16, 1.64098125, 0.02503176, 0.06298481, 0.02964516
17, 1.63968605, 0.02328395, 0.04470684, 0.03724505
18, 1.64165125, 0.02790307, 0.05757586, 0.04123135
19, 1.64114035, 0.02481135, 0.04564757, 0.03660447
20, 1.64646321, 0.03812610, 0.16876587, 0.04118829
21, 1.68646630, 0.01014559, 0.04520260, 0.02114036
22, 1.68875995, 0.01280921, 0.06326512, 0.01849786
23, 1.68966949, 0.00712406, 0.01430257, 0.02746755
24, 1.69332952, 0.00963298, 0.04481339, 0.02241858
25, 1.69383154, 0.00920855, 0.04227741, 0.01765944
26, 1.74097508, 0.04059288, 0.11715994, 0.10666304
27, 1.65604564, 0.04963783, 0.10204741, 0.08033375
28, 1.70833047, 0.04113893, 0.04852342, 0.14609456
29, 1.66095191, 0.06893122, 0.08419419, 0.15714280
30, 12.67503843, 0.69405004, 4.24905068, 0.79605351
31, 12.98018973, 0.39289854, 0.92905930, 0.88141677
32, 12.73366659, 0.28819730, 0.69989238, 0.39066550
33, 12.76055413, 0.30381567, 0.66853893, 0.55242613
34, 12.80481689, 0.39430555, 0.86476815, 0.57369198
