qubit, time(s), standardDev, maxDelta, minDelta
0, 1.40526840, 0.05489398, 0.14647371, 0.19069844
1, 1.51255849, 0.04644486, 0.09653363, 0.17082059
2, 1.51083082, 0.05785431, 0.14270315, 0.14571183
3, 1.47581897, 0.06115813, 0.16127801, 0.15221005
4, 1.49750577, 0.07356026, 0.21692324, 0.20694784
5, 1.50348729, 0.05462140, 0.11836977, 0.17772140
6, 1.48411850, 0.04905383, 0.11470748, 0.17150748
7, 1.48734811, 0.04797132, 0.13363783, 0.15071117
8, 1.51091924, 0.05696934, 0.08842176, 0.17344631
9, 1.50255112, 0.05785983, 0.18138792, 0.09200912
10, 1.46460622, 0.05315597, 0.09534388, 0.15536519
11, 1.47415130, 0.04120320, 0.12292972, 0.07171232
12, 1.45483071, 0.04653637, 0.09181331, 0.19767265
13, 1.47049686, 0.06691939, 0.11640814, 0.24195089
14, 1.48589641, 0.04882926, 0.13559652, 0.14602343
15, 1.47860918, 0.05034706, 0.12244577, 0.14579826
16, 1.48235644, 0.05019142, 0.12889665, 0.09709937
17, 1.49306175, 0.04632519, 0.14368815, 0.08597264
18, 1.48872840, 0.05911851, 0.12474853, 0.23095043
19, 1.49558167, 0.06221092, 0.10403237, 0.23938073
20, 1.45942790, 0.07047346, 0.17451815, 0.17347284
21, 1.49591195, 0.06672182, 0.11570708, 0.31098801
22, 1.48027145, 0.05140698, 0.10394260, 0.13039250
23, 1.49043708, 0.04228146, 0.10178394, 0.12889907
24, 1.50429013, 0.03305831, 0.07130394, 0.04982015
25, 1.49537735, 0.03601652, 0.08145556, 0.06403127
26, 1.50528975, 0.04588430, 0.10599423, 0.19657481
27, 1.51905611, 0.03101556, 0.11226386, 0.03426902
28, 1.52856647, 0.02149150, 0.08190947, 0.02800740
29, 1.49761978, 0.03912666, 0.03839424, 0.12255584
30, 11.24593056, 2.90267359, 19.66149955, 1.98556948
31, 21.22679396, 1.40430478, 4.20169092, 2.66455793
