qubit, time(s), standardDev, maxDelta, minDelta
0, 0.51560210, 0.08868233, 0.41265203, 0.03231095
1, 0.49715818, 0.01367376, 0.03539788, 0.01303924
2, 0.50506472, 0.05896347, 0.27195526, 0.02158379
3, 0.65033016, 0.02143719, 0.03030386, 0.10780820
4, 0.53632109, 0.11972331, 0.44660099, 0.05361907
5, 0.53757864, 0.00603125, 0.00867528, 0.01958972
6, 0.63299178, 0.05987178, 0.21099116, 0.06248473
7, 0.59817024, 0.00039394, 0.00197295, 0.00063630
8, 0.59067356, 0.00061789, 0.00165452, 0.00086557
9, 0.58525324, 0.00114268, 0.00557780, 0.00116730
10, 0.59763144, 0.00365045, 0.01137640, 0.01359056
11, 0.52730764, 0.00458657, 0.00845228, 0.01405968
12, 0.50367517, 0.00871170, 0.02906876, 0.01092119
13, 0.48954856, 0.00306937, 0.01641142, 0.00267041
14, 0.49049000, 0.00501244, 0.01282998, 0.00455503
15, 0.49131091, 0.00633244, 0.03213208, 0.00689514
16, 0.48353545, 0.00067010, 0.00221451, 0.00081436
17, 0.48424903, 0.00042029, 0.00107082, 0.00078288
18, 0.48524112, 0.00062182, 0.00188785, 0.00084419
19, 0.48450023, 0.00094938, 0.00444263, 0.00098020
20, 0.49942738, 0.08471811, 0.56820649, 0.01614529
21, 0.48672156, 0.00363092, 0.01248140, 0.00357442
22, 0.48385708, 0.00085698, 0.00355990, 0.00093620
23, 0.48395869, 0.00069033, 0.00288013, 0.00106379
24, 0.48405339, 0.00084968, 0.00224255, 0.00106241
25, 0.55705318, 0.01563711, 0.01812783, 0.02097520
26, 0.54725546, 0.01270435, 0.02728062, 0.00913138
27, 0.53994125, 0.00804817, 0.03309875, 0.01186913
28, 0.53810812, 0.00173137, 0.00339388, 0.00730420
29, 0.56111815, 0.01112997, 0.04263184, 0.03197101
30, 1.17062909, 0.00892770, 0.01323503, 0.05388314
31, 1.70083115, 0.08140334, 0.29290488, 0.13994524
32, 10.91617737, 0.13623729, 0.78173175, 0.11679945
33, 10.86208574, 0.07087394, 0.31008442, 0.06256286
34, 10.77232066, 0.07696937, 0.39705047, 0.04379859
35, 10.77549877, 0.10716765, 0.69623027, 0.06304469
36, 14.14454732, 0.29179498, 0.45049562, 0.93252645
37, 14.49659727, 0.18981693, 0.51431682, 0.35108922
38, 14.57064352, 0.49921659, 3.11495629, 0.85696945
