numRanks,numThreads,speedup,speedupStandardDev,depth, time(s), standardDev, maxDelta, minDelta
1,16,1.0,0.007760214250346477,100, 672.87056646, 3.69224274, 10.89281354, 9.34897746
2,16,0.7785235536901847,0.21103182327844386,100, 864.29057062, 182.33114514, 252.88673638, 452.82174362
4,16,1.4419499556166069,0.29056633260162346,100, 466.63933366, 135.56549950, 148.59115234, 208.18500766
8,16,3.0028711893427324,0.13939308245637402,100, 224.07573420, 31.21039648, 45.63503780, 67.36116720
16,16,5.106637432717558,0.11328400713757145,100, 131.76392006, 14.90922340, 16.65562294, 38.95410006
32,16,5.5619708134581165,0.03246979294093285,100, 120.97700420, 3.87159868, 7.69133780, 8.69204420
64,16,6.760236080350314,0.034563983739621204,100, 99.53359002, 3.39664630, 7.09028498, 6.67287902
