qubit, time(s), standardDev, maxDelta, minDelta
0, 1.88746195, 0.07129224, 0.21941599, 0.19681100
1, 1.89960646, 0.03418882, 0.07107763, 0.11080749
2, 1.89416020, 0.05107020, 0.13176068, 0.17325631
3, 1.91669652, 0.11881102, 0.74246645, 0.13387357
4, 1.89095042, 0.04374708, 0.05350768, 0.17529045
5, 1.89367491, 0.03717111, 0.06436505, 0.12781587
6, 1.90405101, 0.04608358, 0.07343694, 0.18857799
7, 1.91915714, 0.04361158, 0.06430185, 0.15863008
8, 1.92231003, 0.03548844, 0.05363006, 0.08172795
9, 1.87376606, 0.06702731, 0.16030391, 0.23091097
10, 1.87500873, 0.06116427, 0.13404123, 0.19901266
11, 1.88247616, 0.05435801, 0.17606380, 0.12184307
12, 1.88681753, 0.05464074, 0.14689055, 0.11650461
13, 1.89530759, 0.04514054, 0.07834933, 0.09569451
14, 1.89789762, 0.05903095, 0.16887240, 0.17496153
15, 1.89748343, 0.05804821, 0.07462666, 0.16195038
16, 1.88531378, 0.05673114, 0.08258114, 0.14632268
17, 1.90652803, 0.05418191, 0.09116790, 0.21571699
18, 1.91029158, 0.09322943, 0.48922040, 0.13847368
19, 1.89390413, 0.04434693, 0.10875978, 0.11115621
20, 1.88427433, 0.06631052, 0.19635556, 0.22146227
21, 1.87505085, 0.06012309, 0.10877915, 0.13887490
22, 1.88682243, 0.06729905, 0.28328649, 0.14464345
23, 1.89366995, 0.05974301, 0.23228307, 0.17691292
24, 1.90091364, 0.06369686, 0.24406630, 0.17889657
25, 1.88621962, 0.03921172, 0.05209731, 0.12359361
26, 1.89199669, 0.05462853, 0.08504021, 0.12551778
27, 1.89558798, 0.05408494, 0.10523000, 0.21095392
28, 1.91589780, 0.07403552, 0.37262512, 0.17941876
29, 1.90938454, 0.06288853, 0.11221948, 0.24926451
30, 23.42949403, 2.78299435, 18.03569792, 2.68167613
31, 43.32276116, 3.12586328, 7.05012596, 4.44014109
32, 48.23155784, 2.51816296, 4.80828815, 7.19342091
33, 45.50944547, 1.30564696, 4.23349755, 2.17532437
34, 58.24026950, 3.96343001, 4.32367855, 9.59730946
35, 46.96322702, 1.28208056, 2.76504894, 3.30641207
