qubit, time(s), standardDev, maxDelta, minDelta
0, 0.24121185, 0.00037331, 0.00113420, 0.00111075
1, 0.24177820, 0.00035134, 0.00101774, 0.00055820
2, 0.24171244, 0.00026378, 0.00066460, 0.00049435
3, 0.26329435, 0.01258025, 0.01824771, 0.02192248
4, 0.24080973, 0.00033437, 0.00103516, 0.00047284
5, 0.24501043, 0.00501951, 0.01718254, 0.00526243
6, 0.30604133, 0.00570836, 0.00241056, 0.03557047
7, 0.29620984, 0.00024006, 0.00069020, 0.00050690
8, 0.29321239, 0.00023795, 0.00052050, 0.00059244
9, 0.29202579, 0.00111402, 0.00174930, 0.00199674
10, 0.25534872, 0.00908838, 0.02065631, 0.01431874
11, 0.24554615, 0.00520688, 0.02172084, 0.00339417
12, 0.24516093, 0.00118079, 0.00429810, 0.00097692
13, 0.24347027, 0.00153442, 0.00554172, 0.00113328
14, 0.24219482, 0.00122722, 0.00658805, 0.00078766
15, 0.24138520, 0.00089046, 0.00412585, 0.00070618
16, 0.24145330, 0.00063070, 0.00281559, 0.00053228
17, 0.24132228, 0.00113028, 0.00361967, 0.00090027
18, 0.24178707, 0.00065411, 0.00258006, 0.00063406
19, 0.24148901, 0.00039143, 0.00204197, 0.00050720
20, 0.24159676, 0.00040289, 0.00115222, 0.00067169
21, 0.24143382, 0.00036474, 0.00113896, 0.00048586
22, 0.24143510, 0.00032691, 0.00129790, 0.00055103
23, 0.24141316, 0.00034048, 0.00108786, 0.00063614
24, 0.24143676, 0.00026826, 0.00056430, 0.00060491
25, 0.24786142, 0.00913290, 0.02259656, 0.00731234
26, 0.24594853, 0.00646501, 0.01830747, 0.00508759
27, 0.24382897, 0.00344994, 0.00922898, 0.00302502
28, 0.25175414, 0.01192893, 0.03056779, 0.00819025
29, 0.48511768, 0.10175055, 0.11420011, 0.23107982
30, 3.95893145, 0.10375088, 0.17100453, 0.12879754
