qubit, time(s), standardDev, maxDelta, minDelta
0, 0.48355015, 0.00658582, 0.04568593, 0.00178512
1, 0.48485775, 0.00225247, 0.01109032, 0.00166388
2, 0.48339525, 0.00032389, 0.00077685, 0.00054732
3, 0.62488876, 0.02411701, 0.04292836, 0.10090766
4, 0.48368055, 0.00073458, 0.00267261, 0.00101954
5, 0.52516552, 0.01099662, 0.01671031, 0.02652236
6, 0.61340052, 0.00818656, 0.00382060, 0.05618053
7, 0.61622285, 0.09369688, 0.57228900, 0.02245878
8, 0.58911260, 0.00047038, 0.00206344, 0.00078161
9, 0.58396347, 0.00046308, 0.00152747, 0.00079854
10, 0.50283216, 0.01608624, 0.05406787, 0.01886914
11, 0.50179315, 0.01257944, 0.03027987, 0.01587629
12, 0.49264466, 0.00260419, 0.00691021, 0.00373661
13, 0.48579775, 0.00069879, 0.00294937, 0.00103174
14, 0.48486739, 0.00058109, 0.00206346, 0.00096350
15, 0.48290725, 0.00068084, 0.00186257, 0.00090237
16, 0.48110830, 0.00061230, 0.00278891, 0.00069844
17, 0.48292037, 0.00046373, 0.00198559, 0.00053545
18, 0.48492117, 0.00302049, 0.01307086, 0.00209423
19, 0.48348438, 0.00250454, 0.01011575, 0.00141942
20, 0.48266940, 0.00026247, 0.00071378, 0.00051527
21, 0.48334511, 0.00172066, 0.01052300, 0.00106915
22, 0.48268706, 0.00042498, 0.00159997, 0.00064212
23, 0.48251964, 0.00038082, 0.00135135, 0.00072766
24, 0.48378300, 0.00194306, 0.00652719, 0.00168299
25, 0.49811079, 0.01785457, 0.05789708, 0.01655485
26, 0.49230967, 0.01101891, 0.02896943, 0.00970874
27, 0.49436151, 0.01297666, 0.04224647, 0.01316940
28, 0.49066753, 0.00803670, 0.02570038, 0.00914855
29, 0.50529462, 0.01762675, 0.04989833, 0.01746350
30, 1.12855115, 0.05592456, 0.05134091, 0.31170502
31, 1.67759686, 0.10091943, 0.20120521, 0.23398786
32, 10.29600476, 0.02939636, 0.14428640, 0.02955078
33, 10.36204027, 0.02580782, 0.05556895, 0.05548428
34, 10.32601211, 0.02260857, 0.07975891, 0.03639004
