qubit, time(s), standardDev, maxDelta, minDelta
0, 0.48526451, 0.01196459, 0.08146051, 0.00373646
1, 0.48497494, 0.00655057, 0.04274408, 0.00268086
2, 0.48355882, 0.00204311, 0.01179226, 0.00103871
3, 0.63612112, 0.02243042, 0.02060286, 0.12663921
4, 0.48938414, 0.02150527, 0.11428193, 0.00649520
5, 0.52123560, 0.01355673, 0.04011927, 0.02835359
6, 0.61010628, 0.00805859, 0.00340266, 0.05598431
7, 0.59925869, 0.00033252, 0.00068328, 0.00070169
8, 0.58834221, 0.00052874, 0.00285385, 0.00077822
9, 0.58405146, 0.00038229, 0.00113455, 0.00072154
10, 0.51427913, 0.01215078, 0.04876089, 0.02051306
11, 0.51310380, 0.01660343, 0.02279727, 0.02680166
12, 0.49451481, 0.00479528, 0.02116026, 0.00571095
13, 0.48855000, 0.00331094, 0.01723380, 0.00286894
14, 0.48667536, 0.00247138, 0.00958552, 0.00190744
15, 0.48402702, 0.00239946, 0.01019991, 0.00148283
16, 0.48283958, 0.00034159, 0.00078846, 0.00073957
17, 0.48504010, 0.00059520, 0.00269184, 0.00118509
18, 0.48530897, 0.00050855, 0.00214402, 0.00103696
19, 0.48437222, 0.00043761, 0.00119583, 0.00076922
20, 0.48416837, 0.00116809, 0.00690261, 0.00108441
21, 0.48359144, 0.00065572, 0.00363243, 0.00080240
22, 0.48345624, 0.00049128, 0.00123776, 0.00064622
23, 0.48317671, 0.00046469, 0.00179338, 0.00062562
24, 0.48379589, 0.00201629, 0.00917410, 0.00123693
25, 0.52074594, 0.02115176, 0.02494007, 0.03353495
26, 0.51886792, 0.02067297, 0.02251010, 0.03549213
27, 0.50975083, 0.01942190, 0.02939226, 0.02632497
28, 0.51297326, 0.01979304, 0.03582268, 0.02817030
29, 0.52263595, 0.02246745, 0.03454088, 0.03097201
30, 1.10115341, 0.08555475, 0.09367343, 0.33835653
31, 7.92240062, 2.29697298, 16.07128820, 0.48063460
32, 5.76400235, 0.03049530, 0.08410856, 0.05745843
33, 6.37666194, 1.34496046, 3.37613590, 0.67547886
34, 5.72410193, 0.01899977, 0.04035219, 0.03881994
