qubit, time(s), standardDev, maxDelta, minDelta
0, 0.12127076, 0.00060946, 0.00203122, 0.00059877
1, 0.12108538, 0.00066273, 0.00300863, 0.00044224
2, 0.12125848, 0.00111486, 0.00687744, 0.00055955
3, 0.15282922, 0.00717568, 0.00946374, 0.02348118
4, 0.12130765, 0.00029558, 0.00073644, 0.00040249
5, 0.12927777, 0.00504238, 0.00700419, 0.00830872
6, 0.15318652, 0.00311971, 0.00169448, 0.01448174
7, 0.14972896, 0.00030348, 0.00148397, 0.00050277
8, 0.14772251, 0.00026784, 0.00056550, 0.00059751
9, 0.14544898, 0.00040068, 0.00113410, 0.00060087
10, 0.14385508, 0.00729442, 0.00607779, 0.01157592
11, 0.12948480, 0.00461024, 0.00465140, 0.00756278
12, 0.12401882, 0.00169862, 0.00720319, 0.00158492
13, 0.12208735, 0.00055240, 0.00220264, 0.00058447
14, 0.12247297, 0.00100668, 0.00341895, 0.00093076
15, 0.12157172, 0.00126180, 0.00412828, 0.00098675
16, 0.12091648, 0.00025333, 0.00060261, 0.00035941
17, 0.12249127, 0.00181367, 0.00549564, 0.00137535
18, 0.12153526, 0.00037432, 0.00188974, 0.00039311
19, 0.12146170, 0.00035909, 0.00139421, 0.00045568
20, 0.12171056, 0.00084943, 0.00331543, 0.00065543
21, 0.12115678, 0.00061435, 0.00375119, 0.00040587
22, 0.12089802, 0.00024504, 0.00085210, 0.00033809
23, 0.12100678, 0.00072578, 0.00476426, 0.00040489
24, 0.12100505, 0.00034330, 0.00131989, 0.00039100
25, 0.13046786, 0.00737220, 0.01102713, 0.00969288
26, 0.12664894, 0.00598589, 0.01173707, 0.00611499
27, 0.12852318, 0.00768469, 0.02347963, 0.00656325
28, 0.24371992, 0.06017747, 0.05262007, 0.11837302
29, 0.50462458, 0.02936905, 0.07139352, 0.05237958
30, 3.06210795, 0.00534455, 0.02910503, 0.00568286
31, 3.06280114, 0.00451892, 0.01438663, 0.00790312
