qubit, time(s), standardDev, maxDelta, minDelta
0, 1.28096321, 0.00037589, 0.00113675, 0.00085524
1, 1.28290563, 0.00163169, 0.01026935, 0.00100260
2, 1.28467554, 0.00040783, 0.00143463, 0.00075048
3, 1.43606723, 0.02577946, 0.05356681, 0.05455626
4, 1.28603306, 0.00042253, 0.00175390, 0.00067416
5, 1.30502857, 0.01134191, 0.02480947, 0.01718153
6, 1.62418158, 0.00956242, 0.00405853, 0.06634552
7, 1.58176696, 0.00054412, 0.00105011, 0.00156701
8, 1.56687756, 0.00063993, 0.00183444, 0.00117846
9, 1.54748378, 0.00212975, 0.00401940, 0.00488076
10, 1.31224833, 0.03281177, 0.08867564, 0.03283939
11, 1.30012086, 0.01772831, 0.09461614, 0.00578407
12, 1.30260618, 0.00326335, 0.02002565, 0.00209220
13, 1.29054200, 0.00046005, 0.00112689, 0.00100290
14, 1.28909095, 0.00170928, 0.01135103, 0.00153812
15, 1.27808556, 0.00039946, 0.00146929, 0.00069651
16, 1.28034678, 0.00042128, 0.00110539, 0.00073782
17, 1.28678885, 0.00044489, 0.00080118, 0.00101271
18, 1.28736640, 0.00046576, 0.00073980, 0.00109745
19, 1.28592788, 0.00099477, 0.00637425, 0.00113784
20, 1.28502730, 0.00039119, 0.00069567, 0.00113229
21, 1.28466321, 0.00156021, 0.00945090, 0.00118424
22, 1.28357956, 0.00046105, 0.00125959, 0.00124261
23, 1.28287815, 0.00045216, 0.00139690, 0.00112008
24, 1.28249649, 0.00120501, 0.00750443, 0.00099233
25, 1.29229733, 0.01712677, 0.05993178, 0.01105020
26, 1.29108087, 0.01507908, 0.05940613, 0.00991789
27, 1.28646720, 0.00905938, 0.05381095, 0.00663317
28, 1.28871298, 0.01073842, 0.05540204, 0.00689197
29, 1.28881642, 0.01523589, 0.08164862, 0.00939151
30, 1.32108866, 0.00788162, 0.05318440, 0.00350271
31, 1.43611334, 0.15446981, 0.87595250, 0.12112639
32, 10.56527711, 0.06825722, 0.14842890, 0.17085029
