qubit, time(s), standardDev, maxDelta, minDelta
0, 0.00002765, 0.00030680, 0.00378435, -0.00007038
1, 0.00001186, 0.00031722, 0.00037017, -0.00008013
2, 0.00001645, 0.00031415, 0.00049556, -0.00008446
3, 0.00002146, 0.00031083, 0.00082665, -0.00012352
4, 0.00001354, 0.00031609, 0.00048450, -0.00009153
5, 0.00001381, 0.00031591, 0.00061125, -0.00009413
6, 0.00001131, 0.00031759, 0.00021478, -0.00009378
7, 0.00001644, 0.00031415, 0.00041866, -0.00010063
8, 0.00001217, 0.00031701, 0.00024282, -0.00007384
9, 0.00001985, 0.00031189, 0.00103013, -0.00008415
10, 0.00001199, 0.00031713, 0.00031096, -0.00009491
11, 0.00001215, 0.00031702, 0.00042589, -0.00008986
12, 0.00001142, 0.00031751, 0.00024359, -0.00008347
13, 0.00001197, 0.00031715, 0.00031109, -0.00008098
14, 0.00001357, 0.00031607, 0.00040753, -0.00007134
