qubit, time(s), standardDev, maxDelta, minDelta
0, 0.12878803, 0.02361341, 0.16341110, 0.00723104
1, 0.12519598, 0.00308637, 0.01061701, 0.00350786
2, 0.12573063, 0.00757818, 0.05046738, 0.00402462
3, 0.16765329, 0.00983878, 0.00513962, 0.03892824
4, 0.12886873, 0.00771266, 0.01676830, 0.00718370
5, 0.13685570, 0.00108141, 0.00442543, 0.00156269
6, 0.15448000, 0.00273017, 0.00447295, 0.01266410
7, 0.15136011, 0.00081913, 0.00299279, 0.00094016
8, 0.14955926, 0.00077714, 0.00242662, 0.00156331
9, 0.14736088, 0.00098007, 0.00381605, 0.00096877
10, 0.15459617, 0.00053273, 0.00101582, 0.00107320
11, 0.15369070, 0.00057353, 0.00177824, 0.00129569
12, 0.13872408, 0.00761413, 0.00867487, 0.01063799
13, 0.12450505, 0.00186832, 0.00697207, 0.00224400
14, 0.12424479, 0.00125877, 0.00473107, 0.00206290
15, 0.12422047, 0.00143201, 0.00404968, 0.00280652
16, 0.12452343, 0.00196360, 0.00566145, 0.00250057
17, 0.12335069, 0.00134315, 0.00314444, 0.00221545
18, 0.12524530, 0.00174354, 0.00552681, 0.00357911
19, 0.12531777, 0.00177725, 0.00406221, 0.00277682
20, 0.12485678, 0.00139627, 0.00464027, 0.00280387
21, 0.12448805, 0.00163469, 0.00453383, 0.00302999
22, 0.12424535, 0.00157035, 0.00424748, 0.00264544
23, 0.12444772, 0.00184856, 0.00466810, 0.00299181
24, 0.12458666, 0.00159084, 0.00489227, 0.00247153
25, 0.14644255, 0.00632094, 0.02087246, 0.00843348
26, 0.14384764, 0.00381040, 0.01144535, 0.00476855
27, 0.94378396, 0.21619584, 1.51143412, 0.06040188
28, 0.94669159, 0.21744432, 1.52145926, 0.04161747
29, 0.96917780, 0.22521745, 1.57511918, 0.05616292
30, 1.04406389, 0.00442215, 0.02018110, 0.00990876
31, 1.08257168, 0.03367330, 0.12785346, 0.03468960
32, 1.17538993, 0.05238961, 0.10048111, 0.12821595
33, 1.78907677, 0.07391815, 0.20945409, 0.18686387
34, 1.99394623, 0.10890428, 0.24637469, 0.30899421
35, 2.51660854, 0.05136988, 0.07627839, 0.15056640
36, 3.88783216, 0.05471391, 0.14847780, 0.11963701
37, 5.02740278, 0.04332376, 0.07060227, 0.10222783
