qubit, time(s), standardDev, maxDelta, minDelta
0, 0.12629920, 0.00530835, 0.02810663, 0.00496298
1, 0.12459964, 0.00302935, 0.00848943, 0.00321359
2, 0.12476684, 0.00261417, 0.00711822, 0.00334788
3, 0.15063966, 0.00562746, 0.01228534, 0.02107347
4, 0.12441618, 0.00325512, 0.01514190, 0.00308735
5, 0.13616357, 0.00156619, 0.00187840, 0.00745068
6, 0.15497885, 0.00303049, 0.00185313, 0.01568971
7, 0.15167968, 0.00138363, 0.00788339, 0.00117366
8, 0.14916595, 0.00133185, 0.00625412, 0.00108083
9, 0.14847013, 0.00084057, 0.00334099, 0.00085113
10, 0.13606576, 0.00531302, 0.01442523, 0.00336365
11, 0.13365801, 0.00044812, 0.00208895, 0.00046285
12, 0.13071333, 0.00273284, 0.00329770, 0.00577437
13, 0.12580184, 0.00215444, 0.00673410, 0.00312284
14, 0.12570031, 0.00271581, 0.00625174, 0.00380929
15, 0.12416345, 0.00269382, 0.01470035, 0.00289542
16, 0.12391287, 0.00228729, 0.00630110, 0.00289589
17, 0.12501550, 0.00241888, 0.00601053, 0.00349045
18, 0.12493464, 0.00185901, 0.00464228, 0.00316259
19, 0.12482268, 0.00207342, 0.00545924, 0.00328547
20, 0.12437462, 0.00242186, 0.00529028, 0.00309657
21, 0.12494099, 0.00216389, 0.00521910, 0.00363195
22, 0.12514285, 0.00184847, 0.00397512, 0.00332883
23, 0.12536165, 0.00266044, 0.00932554, 0.00426861
24, 0.12449486, 0.00205430, 0.00615208, 0.00296290
25, 0.14146644, 0.00312890, 0.01059454, 0.00986344
26, 0.14047435, 0.00135986, 0.00502273, 0.00486020
27, 0.14980686, 0.00504393, 0.01378810, 0.00759185
28, 0.29721926, 0.00333293, 0.01047970, 0.00956033
29, 0.50250397, 0.03104059, 0.06846991, 0.05732808
30, 3.21164089, 0.03999516, 0.06694407, 0.09691483
31, 3.40150335, 0.09134383, 0.20248053, 0.20053938
32, 3.95344757, 0.29457747, 0.60074235, 0.50589250
33, 3.70888175, 0.07133960, 0.16013728, 0.14132871
34, 3.78933433, 0.08513413, 0.33656785, 0.12322930
35, 3.85027242, 0.10790416, 0.22928667, 0.17271948
36, 4.41501290, 0.07319700, 0.18882006, 0.12739378
