qubit, time(s), standardDev, maxDelta, minDelta
0, 0.49145093, 0.01514721, 0.07248721, 0.00795283
1, 0.53250901, 0.04522082, 0.19574698, 0.04826895
2, 0.50478158, 0.03423739, 0.14255943, 0.02060256
3, 0.64583650, 0.02250152, 0.04025540, 0.11450043
4, 0.51369242, 0.07981031, 0.50371356, 0.02887539
5, 0.53424703, 0.01763898, 0.09913195, 0.02568399
6, 0.62130672, 0.02623679, 0.18347137, 0.01001365
7, 0.59810650, 0.00090912, 0.00491632, 0.00102150
8, 0.59126387, 0.00057645, 0.00226821, 0.00096593
9, 0.58232522, 0.00122916, 0.00307179, 0.00219512
10, 0.58256317, 0.00509973, 0.01769780, 0.00422002
11, 0.58841712, 0.05552663, 0.18308299, 0.05432803
12, 0.51030110, 0.01578600, 0.05801608, 0.01813124
13, 0.52481095, 0.02778519, 0.06049093, 0.03808991
14, 0.54889832, 0.02437097, 0.06421365, 0.06185733
15, 0.51737945, 0.03657621, 0.08009155, 0.03374856
16, 0.48465211, 0.00241869, 0.00861804, 0.00220115
17, 0.48654761, 0.00234222, 0.00704155, 0.00314155
18, 0.48538429, 0.00123104, 0.00396484, 0.00177223
19, 0.48543859, 0.00189319, 0.00624537, 0.00207448
20, 0.48571816, 0.00209018, 0.00643692, 0.00236121
21, 0.48587932, 0.00213430, 0.00577865, 0.00255432
22, 0.48541502, 0.00239187, 0.00918885, 0.00257496
23, 0.48586633, 0.00230245, 0.00817678, 0.00258830
24, 0.48591475, 0.00309476, 0.01138945, 0.00245981
25, 0.54311776, 0.01820311, 0.12583113, 0.01786256
26, 0.54793560, 0.01520551, 0.04188145, 0.03047143
27, 0.53579767, 0.00982636, 0.03296630, 0.03139956
28, 0.53114737, 0.01292415, 0.01480447, 0.03706945
29, 0.54865319, 0.01433553, 0.01321261, 0.04325635
30, 1.16246165, 0.03682596, 0.02119648, 0.24974264
31, 1.69064779, 0.10898584, 0.27413707, 0.14978285
32, 10.68785377, 1.14209654, 4.89255528, 0.37102885
33, 10.41369300, 0.13634809, 0.61536403, 0.09247713
34, 10.57040726, 0.29577108, 0.62238087, 0.23339425
35, 11.05759888, 0.07246327, 0.14554210, 0.15867381
36, 11.59565907, 0.08828350, 0.28505893, 0.25579100
37, 13.44339579, 0.32383884, 1.03820712, 0.56350487
