qubit, time(s), standardDev, maxDelta, minDelta
0, 0.12638544, 0.00886146, 0.05748250, 0.00471734
1, 0.12462305, 0.00173202, 0.00475384, 0.00344800
2, 0.12562276, 0.00247703, 0.00584411, 0.00415779
3, 0.16761158, 0.00998011, 0.00889232, 0.03846357
4, 0.14020924, 0.00304388, 0.01166173, 0.00324730
5, 0.13654999, 0.00083742, 0.00226613, 0.00123576
6, 0.15501953, 0.00322203, 0.00180458, 0.01553250
7, 0.15190408, 0.00054447, 0.00254395, 0.00072715
8, 0.14976257, 0.00086174, 0.00407058, 0.00096553
9, 0.14849411, 0.00151649, 0.00850882, 0.00113498
10, 0.14418319, 0.00735470, 0.01057478, 0.00968507
11, 0.13326109, 0.00075769, 0.00192892, 0.00111330
12, 0.13180361, 0.00314316, 0.00699534, 0.00659952
13, 0.12874666, 0.00339534, 0.00876936, 0.00421467
14, 0.12687768, 0.00306221, 0.00801336, 0.00419987
15, 0.12430599, 0.00153185, 0.00393483, 0.00264910
16, 0.12356468, 0.00127165, 0.00474720, 0.00218482
17, 0.12386619, 0.00150990, 0.00641097, 0.00214730
18, 0.12355083, 0.00136924, 0.00360519, 0.00178784
19, 0.12347770, 0.00130006, 0.00340628, 0.00188089
20, 0.12436547, 0.00127767, 0.00472460, 0.00221243
21, 0.12357747, 0.00122732, 0.00449169, 0.00209057
22, 0.12345331, 0.00108882, 0.00255568, 0.00207513
23, 0.12359767, 0.00142776, 0.00370426, 0.00201755
24, 0.12321129, 0.00098150, 0.00225863, 0.00162234
25, 0.14436283, 0.00592372, 0.02352319, 0.01000466
26, 0.14201571, 0.00306923, 0.01424525, 0.00349690
27, 0.15088071, 0.00629728, 0.01978146, 0.00834168
28, 0.29652775, 0.00524950, 0.00479710, 0.03447688
29, 0.48500678, 0.02566966, 0.05249718, 0.05516192
30, 2.95050599, 0.00718310, 0.03886412, 0.00677492
31, 2.95833347, 0.00351794, 0.01089551, 0.00761745
32, 3.01333744, 0.04179284, 0.11951440, 0.05183250
33, 3.10423129, 0.10809825, 0.21081478, 0.12542527
34, 4.07459868, 0.49800897, 0.51339137, 0.76713265
35, 4.14171059, 0.15137486, 0.33570950, 0.61397154
36, 4.58121458, 0.52272812, 0.71338424, 0.69887653
37, 5.23396067, 0.12098914, 0.27194949, 0.17058377
