qubit, time(s), standardDev, maxDelta, minDelta
0, 0.49902663, 0.02574433, 0.15445533, 0.01454053
1, 0.49081252, 0.00770119, 0.03305247, 0.00623748
2, 0.58781512, 0.26499413, 1.27740185, 0.10320003
3, 0.75987132, 0.43942410, 2.71853988, 0.19323237
4, 0.48497792, 0.00096939, 0.00372819, 0.00104590
5, 0.56525132, 0.08451143, 0.36033658, 0.04728648
6, 0.69879701, 0.38400604, 2.59037492, 0.13900092
7, 0.67967677, 0.15837244, 0.43635821, 0.08097076
8, 0.67782089, 0.21397662, 1.26573804, 0.08655998
9, 0.64467619, 0.39349245, 2.75275900, 0.06031917
10, 0.61612726, 0.02240045, 0.15677666, 0.00391126
11, 0.85465575, 1.01772273, 6.39516615, 0.23976779
12, 0.56892097, 0.10939344, 0.34869826, 0.07228410
13, 0.61203099, 0.82219298, 5.75510692, 0.12304116
14, 0.50053680, 0.05641533, 0.35857618, 0.01342881
15, 0.49028645, 0.00373995, 0.00775757, 0.00526533
16, 0.49061744, 0.00350430, 0.00665052, 0.00610940
17, 0.58417747, 0.53073957, 3.62995961, 0.10104535
18, 0.48524348, 0.00079034, 0.00264653, 0.00109235
19, 0.48645409, 0.00960053, 0.06252591, 0.00267799
20, 0.48457880, 0.00093911, 0.00337224, 0.00089974
21, 0.51622370, 0.09775957, 0.52432534, 0.03261283
22, 0.52843077, 0.26229662, 1.83411925, 0.04453857
23, 0.52933867, 0.10052929, 0.51443832, 0.04560978
24, 0.51106219, 0.07886876, 0.38182588, 0.02725630
25, 0.59178754, 0.09774334, 0.42298845, 0.05292269
26, 0.56907957, 0.08528711, 0.43798429, 0.03036850
27, 0.55257885, 0.01554901, 0.02196009, 0.01489990
28, 0.61011812, 0.31272221, 2.13874176, 0.07295796
29, 0.56205878, 0.00831764, 0.02652707, 0.00993190
30, 1.17273386, 0.00528411, 0.00946300, 0.02012380
31, 1.69974038, 0.08329205, 0.19357756, 0.13413640
32, 11.02423780, 0.84582028, 5.11775024, 0.29726975
33, 10.95264137, 0.54370950, 3.42936861, 0.20973742
34, 10.92930482, 0.67782950, 3.69285895, 0.24046467
35, 11.21256368, 0.10946430, 0.17402132, 0.37246673
36, 15.47511043, 1.48256521, 1.33699165, 3.29117455
37, 13.52367805, 0.60648909, 2.76304389, 0.40932297
38, 16.43826634, 0.53702252, 2.79967683, 0.34721738
39, 20.03365904, 0.75753470, 0.71523708, 1.65735703
