qubit, time(s), standardDev, maxDelta, minDelta
0, 0.12200096, 0.00107596, 0.00434897, 0.00102999
1, 0.12200349, 0.00084019, 0.00267941, 0.00090950
2, 0.12228307, 0.00118971, 0.00463477, 0.00114712
3, 0.16102925, 0.01032033, 0.01493176, 0.03309527
4, 0.12208423, 0.00083572, 0.00242892, 0.00095924
5, 0.13666619, 0.00125535, 0.00282084, 0.00247634
6, 0.15380480, 0.00329875, 0.00194023, 0.01610067
7, 0.15179477, 0.00026260, 0.00138321, 0.00048885
8, 0.14829408, 0.00035202, 0.00132503, 0.00040804
9, 0.14767070, 0.00032729, 0.00068526, 0.00070472
10, 0.13786402, 0.00432577, 0.01286612, 0.00358715
11, 0.13296011, 0.00109720, 0.00250575, 0.00333503
12, 0.12765223, 0.00340524, 0.00557083, 0.00485831
13, 0.12339608, 0.00184773, 0.00799092, 0.00148098
14, 0.12261775, 0.00093623, 0.00309035, 0.00106672
15, 0.12191000, 0.00081705, 0.00438200, 0.00084390
16, 0.12181225, 0.00090124, 0.00393567, 0.00089612
17, 0.12134589, 0.00050267, 0.00167095, 0.00067700
18, 0.12195857, 0.00058760, 0.00200145, 0.00069769
19, 0.12201241, 0.00113345, 0.00540467, 0.00088529
20, 0.12237736, 0.00118220, 0.00585679, 0.00125143
21, 0.12193106, 0.00073428, 0.00215103, 0.00085209
22, 0.12203891, 0.00095986, 0.00442307, 0.00095398
23, 0.12198989, 0.00095679, 0.00312217, 0.00084083
24, 0.12237700, 0.00120595, 0.00322382, 0.00121601
25, 0.14167668, 0.00452067, 0.00891612, 0.01339056
26, 0.14119089, 0.00377631, 0.01050102, 0.00551498
27, 0.14483745, 0.00571714, 0.01866143, 0.01263864
28, 0.29192613, 0.02072531, 0.00793792, 0.13865803
29, 2.12227035, 0.60976924, 4.26374959, 0.11159230
30, 1.59660511, 0.00803000, 0.03383894, 0.00867013
31, 1.59167616, 0.00555047, 0.02673085, 0.00778716
32, 1.63033024, 0.09730946, 0.41707476, 0.04853121
33, 1.73642728, 0.15584512, 0.52493980, 0.15273616
34, 1.59474162, 0.01843482, 0.10235640, 0.01205066
