qubit, time(s), standardDev, maxDelta, minDelta
0, 1.90984188, 0.00111958, 0.00308313, 0.00182591
1, 1.90950531, 0.00163483, 0.00889259, 0.00279135
2, 1.90983617, 0.00199441, 0.00546182, 0.00847327
3, 1.87006680, 0.03314446, 0.04424532, 0.08512680
4, 1.90686569, 0.00160052, 0.00418630, 0.00616464
5, 1.88588728, 0.00465837, 0.00590192, 0.01758923
6, 2.35379839, 0.03509227, 0.00853252, 0.24538827
7, 2.12102311, 0.02325332, 0.10324390, 0.03330510
8, 2.11673048, 0.01375893, 0.03496239, 0.02639630
9, 1.96438845, 0.02061949, 0.03505365, 0.05822952
10, 1.81254881, 0.02965829, 0.06580622, 0.04889291
11, 1.88340053, 0.03708957, 0.04450265, 0.07439765
12, 1.93320430, 0.00235660, 0.00618063, 0.00652445
13, 1.92482979, 0.00151530, 0.00431316, 0.00531180
14, 1.92528544, 0.00122332, 0.00278177, 0.00263439
15, 1.91596270, 0.00185516, 0.01135635, 0.00227380
16, 1.91473878, 0.00089618, 0.00181734, 0.00262774
17, 1.92188703, 0.00104115, 0.00343884, 0.00318419
18, 1.92097905, 0.00124590, 0.00305674, 0.00388697
19, 1.91805626, 0.00077173, 0.00175165, 0.00188018
20, 1.91677833, 0.00087053, 0.00273466, 0.00193429
21, 1.91664857, 0.00071728, 0.00319248, 0.00138253
22, 1.87272126, 0.00057713, 0.00155371, 0.00119335
23, 1.86656244, 0.00094641, 0.00461666, 0.00107940
24, 1.74918471, 0.00053342, 0.00107635, 0.00102674
25, 1.75663577, 0.08364037, 0.14345421, 0.11384688
26, 1.75726947, 0.08041468, 0.13542858, 0.11102352
27, 1.67146034, 0.04695321, 0.22965555, 0.02257032
28, 1.66373970, 0.02861418, 0.18864534, 0.01252152
29, 1.66350034, 0.01626771, 0.06144043, 0.01141432
30, 1.66938923, 0.03163730, 0.14763286, 0.01741932
